"","ID","Title","Rel_Date","Budget"
"835",37931,"MacGruber",2010-05-21,10000000
"840",20352,"Despicable Me",2010-07-08,69000000
"845",238636,"The Purge: Anarchy",2014-07-17,9000000
"863",97020,"RoboCop",2014-01-30,120000000
"872",49529,"John Carter",2012-03-07,250000000
"873",49530,"In Time",2011-10-27,40000000
"874",54138,"Star Trek Into Darkness",2013-05-05,190000000
"878",214756,"Ted 2",2015-06-25,68000000
"880",426563,"Holmes & Watson",2018-12-25,42000000
"881",337167,"Fifty Shades Freed",2018-01-17,55000000
"890",55725,"Win Win",2011-03-18,10831173
"891",593720,"Where Does a Body End?",2019-05-03,48817
"893",401469,"Widows",2018-11-06,42000000
"895",447332,"A Quiet Place",2018-04-03,17000000
"903",329865,"Arrival",2016-11-10,47000000
"907",57158,"The Hobbit: The Desolation of Smaug",2013-12-11,250000000
"913",458594,"Peppermint",2018-09-06,25000000
"920",32657,"Percy Jackson & the Olympians: The Lightning Thief",2010-02-01,95000000
"925",43959,"Soul Surfer",2011-04-08,18000000
"929",38031,"You Will Meet a Tall Dark Stranger",2010-05-23,22000000
"930",45658,"Everything Must Go",2010-10-15,5000000
"937",281957,"The Revenant",2015-12-25,135000000
"940",34803,"Death at a Funeral",2010-04-15,21000000
"941",216015,"Fifty Shades of Grey",2015-02-11,40000000
"946",16290,"Jackass 3D",2010-10-15,20000000
"949",426543,"The Nutcracker and the Four Realms",2018-10-26,120000000
"953",330459,"Rogue One: A Star Wars Story",2016-12-14,200000000
"966",517093,"Balkan Line",2019-03-21,3500000
"967",324786,"Hacksaw Ridge",2016-10-07,40000000
"968",205022,"Chennai Express",2013-08-08,18000000
"970",181533,"Night at the Museum: Secret of the Tomb",2014-12-17,127000000
"971",102651,"Maleficent",2014-05-28,180000000
"972",455207,"Crazy Rich Asians",2018-08-15,30000000
"974",293167,"Kong: Skull Island",2017-03-08,185000000
"976",205587,"The Judge",2014-10-08,50000000
"979",64690,"Drive",2011-08-06,15000000
"980",76757,"Jupiter Ascending",2015-02-04,176000003
"981",335988,"Transformers: The Last Knight",2017-06-16,217000000
"982",374461,"Mr. Church",2016-09-16,8000000
"994",374720,"Dunkirk",2017-07-19,100000000
"996",424139,"Halloween",2018-10-18,10000000
"997",463272,"Johnny English Strikes Again",2018-09-13,25000000
"999",50544,"Friends with Benefits",2011-07-21,35000000
"1006",500664,"Upgrade",2018-06-01,5000000
"1008",168259,"Furious 7",2015-04-01,190000000
"1011",463821,"The House with a Clock in Its Walls",2018-09-15,42000000
"1012",106646,"The Wolf of Wall Street",2013-12-25,100000000
"1013",400155,"Hotel Transylvania 3: Summer Vacation",2018-06-28,80000000
"1017",493922,"Hereditary",2018-06-04,10000000
"1018",207932,"Inferno",2016-10-13,75000000
"1022",58595,"Snow White and the Huntsman",2012-05-30,170000000
"1025",177677,"Mission: Impossible - Rogue Nation",2015-07-23,150000000
"1030",154400,"The Drop",2014-09-12,12600000
"1038",189,"Sin City: A Dame to Kill For",2014-08-20,65000000
"1039",136795,"The Heat",2013-06-27,43000000
"1042",45612,"Source Code",2011-03-30,32000000
"1044",241554,"Run All Night",2015-03-11,50000000
"1048",68737,"Seventh Son",2014-12-12,95000000
"1051",24021,"The Twilight Saga: Eclipse",2010-06-23,68000000
"1052",146216,"RED 2",2013-07-18,84000000
"1053",109451,"Cloudy with a Chance of Meatballs 2",2013-09-26,78000000
"1064",56292,"Mission: Impossible - Ghost Protocol",2011-12-07,145000000
"1065",184315,"Hercules",2014-07-23,100000000
"1068",166426,"Pirates of the Caribbean: Dead Men Tell No Tales",2017-05-23,230000000
"1069",165904,"Special 26",2013-02-07,7100000
"1070",597512,"Watching",2019-05-04,150
"1072",68718,"Django Unchained",2012-12-25,100000000
"1074",43074,"Ghostbusters",2016-07-14,144000000
"1076",47971,"xXx: Return of Xander Cage",2017-01-13,85000000
"1078",11324,"Shutter Island",2010-02-14,80000000
"1081",254470,"Pitch Perfect 2",2015-05-07,29000000
"1082",388399,"Patriots Day",2016-12-12,45000000
"1089",445571,"Game Night",2018-02-22,37000000
"1092",68726,"Pacific Rim",2013-07-11,180000000
"1095",296096,"Me Before You",2016-06-01,20000000
"1096",20526,"TRON: Legacy",2010-12-10,170000000
"1097",339964,"Valerian and the City of a Thousand Planets",2017-07-20,177200000
"1098",312221,"Creed",2015-11-25,37000000
"1099",399035,"The Commuter",2018-01-11,30000000
"1100",50620,"The Twilight Saga: Breaking Dawn - Part 2",2012-11-13,120000000
"1108",375290,"Airlift",2016-01-22,4500000
"1111",193893,"Let's Be Cops",2014-08-13,17000000
"1112",64635,"Total Recall",2012-08-02,125000000
"1113",62764,"Mirror Mirror",2012-03-15,85000000
"1118",270303,"It Follows",2014-11-13,2000000
"1120",12155,"Alice in Wonderland",2010-03-03,200000000
"1121",82690,"Wreck-It Ralph",2012-11-01,165000000
"1122",300668,"Annihilation",2018-02-22,40000000
"1123",339259,"The Man with the Iron Heart",2017-05-25,32679734
"1131",53182,"300: Rise of an Empire",2014-03-05,110000000
"1134",434555,"The Possession of Hannah Grace",2018-11-29,7700000
"1139",454293,"Night School",2018-09-27,29000000
"1140",353576,"The Con Is On",2018-05-04,13000000
"1143",311324,"The Great Wall",2016-12-16,150000000
"1146",227159,"Horrible Bosses 2",2014-11-26,42000000
"1147",50619,"The Twilight Saga: Breaking Dawn - Part 1",2011-03-15,110000000
"1149",169917,"A Walk Among the Tombstones",2014-09-18,28000000
"1151",137106,"The Lego Movie",2014-02-06,60000000
"1152",420814,"Christopher Robin",2018-08-02,75000000
"1153",307081,"Southpaw",2015-06-15,30000000
"1155",124905,"Godzilla",2014-05-14,160000000
"1160",401981,"Red Sparrow",2018-02-28,69000000
"1162",296098,"Bridge of Spies",2015-10-15,40000000
"1171",47933,"Independence Day: Resurgence",2016-06-22,165000000
"1172",39514,"RED",2010-10-13,58000000
"1174",152601,"Her",2013-12-18,23000000
"1175",238615,"Self/less",2015-07-10,26000000
"1177",159824,"Hotel Transylvania 2",2015-09-21,80000000
"1178",334543,"Lion",2016-11-24,12000000
"1182",153518,"The Angry Birds Movie",2016-05-11,73000000
"1183",64688,"21 Jump Street",2012-03-12,42000000
"1187",267860,"London Has Fallen",2016-03-02,60000000
"1192",204922,"Before I Go to Sleep",2014-09-03,22000000
"1195",140300,"Kung Fu Panda 3",2016-01-23,145000000
"1198",110415,"Snowpiercer",2013-08-01,39200000
"1199",188927,"Star Trek Beyond",2016-07-07,185000000
"1200",109439,"The Hangover Part III",2013-05-23,103000000
"1208",10193,"Toy Story 3",2010-06-16,200000000
"1211",315837,"Ghost in the Shell",2017-03-29,110000000
"1212",10140,"The Chronicles of Narnia: The Voyage of the Dawn Treader",2010-08-13,155000000
"1213",49047,"Gravity",2013-10-03,105000000
"1217",171274,"Inherent Vice",2014-12-25,20000000
"1221",336843,"Maze Runner: The Death Cure",2018-01-10,62000000
"1223",38757,"Tangled",2010-02-03,260000000
"1226",27578,"The Expendables",2010-08-03,80000000
"1235",62211,"Monsters University",2013-06-20,200000000
"1237",399055,"The Shape of Water",2017-12-01,19500000
"1238",76203,"12 Years a Slave",2013-10-18,20000000
"1239",58574,"Sherlock Holmes: A Game of Shadows",2011-11-22,125000000
"1240",72105,"Ted",2012-06-29,50000000
"1249",224141,"Into the Woods",2014-12-25,50000000
"1254",82675,"Taken 2",2012-09-27,45000000
"1255",290595,"The Huntsman: Winter's War",2016-04-06,115000000
