"","X1","titles","artists","song_id","release_year","release_date","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","onBillboard","artist.id","artist.popularity"
"50",49,"Truth Hurts","Lizzo","5qmq61DAAOUaW8AUo8xKhh",2019,2019-05-03,0.11,0.715,173325,0.624,0,4,0.123,-3.046,0,0.114,158.087,4,0.412,1,"56oDRnqbIiwx4mymNEv7dS",84
"51",50,"Boy With Luv (feat. Halsey)","BTS","5KawlOMHjWeUjQtnuRs22c",2019,2019-04-12,0.0923,0.645,229773,0.862,0,11,0.192,-4.757,0,0.0965,119.991,4,0.798,1,"3Nrfpe0tUJi4K4DXYWgMUX",94
"52",51,"Worth It","YK Osiris","4XiGKQqbmnMVxDzUj6j3f2",2019,2019-02-08,0.468,0.764,189253,0.528,0,5,0.0811,-4.082,0,0.0588,123.936,5,0.422,1,"7meyrw7Or5DwteYxDJrkCM",74
"53",52,"Who Do You Love","The Chainsmokers","11cDEev79fPKi6uJCjUhu8",2019,2019-02-07,0.00791,0.51,226747,0.835,0,3,0.219,-4.673,1,0.0447,140.024,4,0.435,1,"69GGBxA162lTqCwzJG5jLp",89
"54",53,"Close Friends (Lil Baby & Gunna)","Lil Baby","5nzhL67GpF9szXWg5y509A",2018,2018-10-05,0.044,0.665,203881,0.585,0,10,0.0789,-5.077,0,0.366,158.953,4,0.658,1,"5f7VJjfbwm532GiveGC0ZK",88
"55",54,"Look What God Gave Her","Thomas Rhett","1HY7Ze0NWqDJkl4g4MV62Q",2019,2019-03-01,0.0221,0.732,168214,0.847,0,2,0.246,-3.921,1,0.0307,113.012,4,0.885,1,"6x2LnllRG5uGarZMsD4iO8",81
"56",55,"Night Shift","Jon Pardi","0bPnT6i9H1p8Vd85GS6Z7I",2016,2016-05-13,0.113,0.628,172253,0.757,0,7,0.263,-3.561,1,0.0281,96.016,4,0.727,1,"4MoAOfV4ROWofLG3a3hhBN",74
"57",56,"Rumor","Lee Brice","56eGOeSsqdg3FLxdo83TwV",2017,2017-11-03,0.749,0.655,198440,0.56,0,9,0.115,-6.857,1,0.0486,140.975,4,0.599,1,"5Zq7R5qmi58ByYyBQTlNuk",72
"58",57,"Walk Me Home","P!nk","7DHApOHsIFo7EyfieArYGE",2019,2019-02-20,0.0519,0.652,177391,0.453,0,1,0.179,-6.119,1,0.0445,88.038,3,0.432,1,"1KCSPY1glIKqW2TotWuXOR",88
"59",58,"Hey Look Ma, I Made It","Panic! At The Disco","22oEJW6r2rMb9z4IntfyEa",2018,2018-06-22,0.0137,0.577,169667,0.833,0,5,0.121,-3.337,1,0.0695,107.936,4,0.58,1,"20JZFwl6HVl6yg8a4H3ZqK",88
"60",59,"Love Ain't","Eli Young Band","6uVzeU47Qzg0rrMneP5BNg",2018,2018-05-25,0.00566,0.6,186119,0.851,9.78e-06,11,0.0891,-4.645,1,0.0388,98.007,4,0.727,1,"6eKWqnckwdIlSnjaYgIyxv",69
"61",60,"Earth","Lil Dicky","2S1LebN6AXXQqJolBxlWgO",2019,2019-04-18,0.639,0.694,281500,0.664,0,2,0.0929,-4.649,1,0.05,95.941,4,0.676,1,"1tqhsYv8yBBdwANFNzHtcr",80
